Geo_FIPS,Geo_NAME,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_CHARITER,Geo_CIFSN,Geo_LOGRECNO,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUNTYCC,Geo_COUNTYSC,Geo_COUSUB,Geo_COUSUBCC,Geo_COUSUBSC,Geo_PLACE,Geo_PLACECC,Geo_PLACESC,Geo_TRACT,Geo_BLKGRP,Geo_BLOCK,Geo_IUC,Geo_CONCIT,Geo_CONCITCC,Geo_CONCITSC,Geo_AIANHH,Geo_AIANHHFP,Geo_AIANHHCC,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_AITSCC,Geo_TTRACT,Geo_TBLKGRP,Geo_ANRC,Geo_ANRCCC,Geo_CBSA,Geo_CBSASC,Geo_METDIV,Geo_CSA,Geo_NECTA,Geo_NECTASC,Geo_NECTADIV,Geo_CNECTA,Geo_CBSAPCI,Geo_NECTAPCI,Geo_UA,Geo_UASC,Geo_UATYPE,Geo_UR,Geo_CD,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_VTDI,Geo_RESERVE2,Geo_ZCTA5,Geo_SUBMCD,Geo_SUBMCDCC,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_AREALAND,Geo_AREAWATR,Geo_FUNCSTAT,Geo_GCUNI,Geo_POP100,Geo_HU100,Geo_INTPTLAT,Geo_INTPTLON,Geo_LSADC,Geo_PARTFLAG,Geo_RESERVE3,Geo_UGA,Geo_STATENS,Geo_COUNTYNS,Geo_COUSUBNS,Geo_PLACENS,Geo_CONCITNS,Geo_AIANHHNS,Geo_AITSNS,Geo_ANRCNS,Geo_SUBMCDNS,Geo_CD113,Geo_CD114,Geo_CD115,Geo_SLDU2,Geo_SLDU3,Geo_SLDU4,Geo_SLDL2,Geo_SLDL3,Geo_SLDL4,Geo_AIANHHSC,Geo_CSASC,Geo_CNECTASC,Geo_MEMI,Geo_NMEMI,Geo_PUMA,Geo_RESERVED,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008
"170010001001","Block Group 1","Block Group 1, Census Tract 1, Adams County, Illinois","SF1ST","IL","150","00","000","46","4219","2","3","17","001","H1","17",,,,,,,"000100","1",,,,,,,,,,,,,,,,,"39500","17","99999","999",,,,,,,,,,,,,,,,,,,,,,,"7924738","16904","S",,"1168","466","+39.9540864","-091.3541131","BG",,,,"01779784","00424202",,,,,,,,,,,,,,,,,,"00",,"2",,,,1168,1106,19,2,12,0,10,19
"170010001002","Block Group 2","Block Group 2, Census Tract 1, Adams County, Illinois","SF1ST","IL","150","00","000","46","4220","2","3","17","001","H1","17",,,,,,,"000100","2",,,,,,,,,,,,,,,,,"39500","17","99999","999",,,,,,,,,,,,,,,,,,,,,,,"972110","0","S",,"756","345","+39.9445853","-091.3628882","BG",,,,"01779784","00424202",,,,,,,,,,,,,,,,,,"00",,"2",,,,756,703,10,3,13,0,12,15
"170010001003","Block Group 3","Block Group 3, Census Tract 1, Adams County, Illinois","SF1ST","IL","150","00","000","46","4221","2","3","17","001","H1","17",,,,,,,"000100","3",,,,,,,,,,,,,,,,,"39500","17","99999","999",,,,,,,,,,,,,,,,,,,,,,,"920608","0","S",,"948","497","+39.9451960","-091.3726445","BG",,,,"01779784","00424202",,,,,,,,,,,,,,,,,,"00",,"2",,,,948,898,14,2,8,1,2,23
"170010001004","Block Group 4","Block Group 4, Census Tract 1, Adams County, Illinois","SF1ST","IL","150","00","000","46","4222","2","3","17","001","H1","17",,,,,,,"000100","4",,,,,,,,,,,,,,,,,"39500","17","99999","999",,,,,,,,,,,,,,,,,,,,,,,"826516","0","S",,"899","455","+39.9375717","-091.3685320","BG",,,,"01779784","00424202",,,,,,,,,,,,,,,,,,"00",,"2",,,,899,867,15,0,2,0,0,15
"170010001005","Block Group 5","Block Group 5, Census Tract 1, Adams County, Illinois","SF1ST","IL","150","00","000","46","4223","2","3","17","001","H1","17",,,,,,,"000100","5",,,,,,,,,,,,,,,,,"39500","17","99999","999",,,,,,,,,,,,,,,,,,,,,,,"2293213","5138","S",,"856","459","+39.9417351","-091.3414040","BG",,,,"01779784","00424202",,,,,,,,,,,,,,,,,,"00",,"2",,,,856,838,4,0,10,0,0,4
"170010002011","Block Group 1","Block Group 1, Census Tract 2.01, Adams County, Illinois","SF1ST","IL","150","00","000","46","4225","2","3","17","001","H1","17",,,,,,,"000201","1",,,,,,,,,,,,,,,,,"39500","17","99999","999",,,,,,,,,,,,,,,,,,,,,,,"2649827","0","S",,"1059","495","+39.9577092","-091.3869104","BG",,,,"01779784","00424202",,,,,,,,,,,,,,,,,,"00",,"2",,,,1059,999,24,1,8,0,0,27
"170010002012","Block Group 2","Block Group 2, Census Tract 2.01, Adams County, Illinois","SF1ST","IL","150","00","000","46","4226","2","3","17","001","H1","17",,,,,,,"000201","2",,,,,,,,,,,,,,,,,"39500","17","99999","999",,,,,,,,,,,,,,,,,,,,,,,"556517","0","S",,"927","422","+39.9485280","-091.3856466","BG",,,,"01779784","00424202",,,,,,,,,,,,,,,,,,"00",,"2",,,,927,883,29,1,1,1,3,9
"170010002021","Block Group 1","Block Group 1, Census Tract 2.02, Adams County, Illinois","SF1ST","IL","150","00","000","46","4228","2","3","17","001","H1","17",,,,,,,"000202","1",,,,,,,,,,,,,,,,,"39500","17","99999","999",,,,,,,,,,,,,,,,,,,,,,,"441717","0","S",,"1185","297","+39.9391728","-091.3823768","BG",,,,"01779784","00424202",,,,,,,,,,,,,,,,,,"00",,"2",,,,1185,1040,104,2,4,1,7,27
"170010002022","Block Group 2","Block Group 2, Census Tract 2.02, Adams County, Illinois","SF1ST","IL","150","00","000","46","4229","2","3","17","001","H1","17",,,,,,,"000202","2",,,,,,,,,,,,,,,,,"39500","17","99999","999",,,,,,,,,,,,,,,,,,,,,,,"767929","0","S",,"1220","567","+39.9441907","-091.3856570","BG",,,,"01779784","00424202",,,,,,,,,,,,,,,,,,"00",,"2",,,,1220,1094,87,4,5,0,14,16
"170010002023","Block Group 3","Block Group 3, Census Tract 2.02, Adams County, Illinois","SF1ST","IL","150","00","000","46","4230","2","3","17","001","H1","17",,,,,,,"000202","3",,,,,,,,,,,,,,,,,"39500","17","99999","999",,,,,,,,,,,,,,,,,,,,,,,"305311","0","S",,"594","262","+39.9392721","-091.3903947","BG",,,,"01779784","00424202",,,,,,,,,,,,,,,,,,"00",,"2",,,,594,554,24,3,5,0,0,8
